Messpunkt;Koordinate
0.01;55/60/0
0.02;49/61/0
0.03;48/58/0
0.04;54/56/0
0.041;53/53/0
0.05;43/60/0
0.06;59/55/0
0.07;63/55/0
0.08;67/55/0
0.09;71/55/0
0.10;45/31/0
0.11;42/31/0
0.12;37/32/0
0.13;32/33/0
0.14;29/32/0
0.15;28/36/0
0.16;25/32/0
0.17;46/20/0
0.18;50/18/0
0.19;53/16/0
0.20;57/15/0
0.21;59/17/0
0.22;60/13/0
0.23;66/10/0
0.24;72/11/0
0.25;78/15/0
0.26;81/21/0
0.27;88/23/0
0.28;91/28/0
0.29;94/26/0
0.30;97/22/0
0.31;101/27/0
0.32;103/22/0
0.33;107/25/0
0.34;99/25/0.5
1.01;55/62/1
1.02;49/61/1
1.03;48/58/1
1.04;55/57/1
1.05;45/59/1
1.06;41/60/1
1.07;37/61/1
1.08;33/62/1
1.09;58/56/1
1.10;62/56/1
1.11;66/56/1
1.12;70/55/1
1.13;51/55/1
1.14;50/50/1
1.15;49/45/1
1.16;48/40/1
1.17;47/34/1
1.18;46/28/1
1.19;45/21/1
1.20;47/20/1
1.21;53/17/1
1.22;57/15/1
1.23;59/17/1
1.24;43/31/1
1.25;39/32/1
1.26;35/32/1
1.27;31/33/1
1.28;27/33/1
1.29;28/30/1
1.30;29/26/1
1.31;31/23/1
1.32;34/21/1
1.34;37/22/1
1.35;41/21/1
1.36;84/23/1
1.37;84/23/1
1.38;96/25/1
1.39;101/23/1
1.40;101/28/1
1.41;107/28/1
2.01;55/60/2
2.02;49/61/2
2.03;48/58/2
2.04;54/57/2
2.05;45/59/2
2.06;41/60/2
2.07;36/62/2
2.08;32/63/2
2.09;59/57/2
2.10;64/57/2
2.11;69/57/2
2.12;74/56/2
2.13;79/56/2
2.14;84/56/2
2.15;53/16/2
2.16;50/19/2
2.17;59/14/2
2.18;59/17/2
2.19;60/18/2
2.20;61/18/2.5
2.21;89/23/2
2.22;95/25/2
2.23;100/23/2
2.24;100/28/2
2.25;106/28/2
3.01;48/49/3
3.02;49/52/3
3.03;55/51/3
3.04;54/47/3
3.05;59/47/3
3.06;64/47/3
3.07;69/47/3
3.08;74/46/3
3.09;79/46/3
3.10;84/46/3
3.18;58/19/3
3.19;60/20/3
3.20;61/18/3.5